booking_id,passenger_id_hash,flight_id,booking_date,status,seat_number,airline,source,destination,departure_time,arrival_time,flight_duration_minutes,flight_duration_hours,supplied_duration_minutes,duration_difference_minutes,duration_status,payment_id,amount,payment_method,first_name,last_name,age,gender,aadhaar_masked,phone_masked,email_masked,flight_day_type,age_group,booking_month
B1000,977c3154ed97450c76e731cfa64c1b4071ddd7001d11e16f6425026abd815d64,AI192,2025-06-14 11:37:36.951,CANCELLED,3D,Air India,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,299.0,4.983333333333333,299.0,0.0,Valid,,,,Krishna,Mehta,4,M,55*********,+9************,kr**************************,Unknown,Under 18,2025-06
B1001,604c9afd067fac61e2daa8a506a2030f2d8c48a0c123a8b1750c198b0cf829c3,6F026,2025-11-02 11:37:36.951,CANCELLED,18A,IndiGo,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0,4.45,267.0,0.0,Valid,,,,Krishna,Singh,82,F,28*********,+9************,kr***********************,Unknown,60+,2025-11
B1002,906ea2a505d51fd41a2b2f02d9dfc962d3831101cd8232792ccfed55ec6303da,SJ010,2025-08-25 11:37:36.951,CANCELLED,30C,SpiceJet,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,2.9,174.0,0.0,Valid,PAY1305,6087.22,UPI,Arjun,Banerjee,62,F,44**********,+9************,ar************************,Unknown,60+,2025-08
B1002,906ea2a505d51fd41a2b2f02d9dfc962d3831101cd8232792ccfed55ec6303da,SJ010,2025-08-25 11:37:36.951,CANCELLED,30C,SpiceJet,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,2.9,174.0,0.0,Valid,PAY1912,2505.86,NETBANKING,Arjun,Banerjee,62,F,44**********,+9************,ar************************,Unknown,60+,2025-08
B1003,253e3decf26bba87ebad66473c9ad56664e004ace4b3cf396b23d9b89fb2d722,AI069,2025-12-30 11:37:36.951,CONFIRMED,33A,Air India,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,226.0,3.7666666666666666,226.0,0.0,Valid,,,,Aarav,Ghosh,60,M,95**********,+9************,aa**********************,Unknown,46-60,2025-12
B1004,f4133d1257c4df22d1f3160f167fa0b82a2d16ffc2fa6076b0dd622aa9284cbf,UK003,2025-10-02 11:37:36.951,PENDING,25C,Vistara,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,278.0,4.633333333333334,278.0,0.0,Valid,PAY1738,12222.48,UPI,Ira,Chatterjee,33,F,43**********,+9************,ir**********************,Unknown,31-45,2025-10
B1005,ccaeb9c55d66d7925b9b4b257d89a2f3e2fcc223df68dd4a43a8b85509590cf3,AI048,2025-08-31 11:37:36.951,CONFIRMED,13D,Air India,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,232.0,3.8666666666666667,232.0,0.0,Valid,PAY1122,13378.9,UPI,Saanvi,Nair,52,F,25**********,+9************,sa*********************,Unknown,46-60,2025-08
B1006,a4df934159e17c6f77ef8d393588441f9c9abcf50194d863ddfde514c1ba87be,AI140,2025-06-29 11:37:36.951,CANCELLED,17F,Air India,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,223.0,3.716666666666667,223.0,0.0,Valid,PAY1206,14980.37,NETBANKING,Riya,Das,58,M,42**********,+9************,ri******************,Unknown,46-60,2025-06
B1007,2fbfa19e0834526a73f088118e54ac518f7fdbe8b02a8d6e2fbbac494cf0e908,UK167,2026-03-12 11:37:36.951,CONFIRMED,22E,Vistara,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,181.0,3.0166666666666666,181.0,0.0,Valid,,,,Ishaan,Kulkarni,87,M,61**********,+9************,is**************************,Unknown,60+,2026-03
B1008,fe8378226aea284fc0bde70c404202521495e2831d1809e19eed560393f944f3,AI245,2025-09-07 11:37:36.951,PENDING,34F,Air India,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,156.0,2.6,156.0,0.0,Valid,,,,Kavya,Verma,40,F,82**********,+9************,ka*********************,Unknown,31-45,2025-09
B1009,671275e88f80ab6612b251a834bc7c2c958d795dd8d53e18ca9e1e16136f7771,SJ158,2025-04-28 11:37:36.951,CANCELLED,33C,SpiceJet,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,139.0,2.316666666666667,139.0,0.0,Valid,,,,Ananya,Nair,34,M,56**********,+9************,an*********************,Unknown,31-45,2025-04
B1010,4b6c0c8b02b248b3832fafda3719d14a7c12256e352e612069e6a9d139c72f0d,AI155,2025-11-24 11:37:36.951,CONFIRMED,15B,Air India,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,108.0,1.8,108.0,0.0,Valid,PAY1534,,NETBANKING,Saanvi,Mishra,79,F,44*********,+9************,sa**************************,Unknown,60+,2025-11
